Date,Year,Quarter,Month,Month in text,Week,Day
2023-01-01 00:00:00,2023,1,1,January,1,1
2023-01-02 00:00:00,2023,1,1,January,1,2
2023-01-03 00:00:00,2023,1,1,January,1,3
2023-01-04 00:00:00,2023,1,1,January,1,4
2023-01-05 00:00:00,2023,1,1,January,1,5
2023-01-06 00:00:00,2023,1,1,January,1,6
2023-01-07 00:00:00,2023,1,1,January,1,7
2023-01-08 00:00:00,2023,1,1,January,2,8
2023-01-09 00:00:00,2023,1,1,January,2,9
2023-01-10 00:00:00,2023,1,1,January,2,10
2023-01-11 00:00:00,2023,1,1,January,2,11
2023-01-12 00:00:00,2023,1,1,January,2,12
2023-01-13 00:00:00,2023,1,1,January,2,13
2023-01-14 00:00:00,2023,1,1,January,2,14
2023-01-15 00:00:00,2023,1,1,January,3,15
2023-01-16 00:00:00,2023,1,1,January,3,16
2023-01-17 00:00:00,2023,1,1,January,3,17
2023-01-18 00:00:00,2023,1,1,January,3,18
2023-01-19 00:00:00,2023,1,1,January,3,19
2023-01-20 00:00:00,2023,1,1,January,3,20
2023-01-21 00:00:00,2023,1,1,January,3,21
2023-01-22 00:00:00,2023,1,1,January,4,22
2023-01-23 00:00:00,2023,1,1,January,4,23
2023-01-24 00:00:00,2023,1,1,January,4,24
2023-01-25 00:00:00,2023,1,1,January,4,25
2023-01-26 00:00:00,2023,1,1,January,4,26
2023-01-27 00:00:00,2023,1,1,January,4,27
2023-01-28 00:00:00,2023,1,1,January,4,28
2023-01-29 00:00:00,2023,1,1,January,5,29
2023-01-30 00:00:00,2023,1,1,January,5,30
2023-01-31 00:00:00,2023,1,1,January,5,31
2023-02-01 00:00:00,2023,1,2,February,5,1
2023-02-02 00:00:00,2023,1,2,February,5,2
2023-02-03 00:00:00,2023,1,2,February,5,3
2023-02-04 00:00:00,2023,1,2,February,5,4
2023-02-05 00:00:00,2023,1,2,February,6,5
2023-02-06 00:00:00,2023,1,2,February,6,6
2023-02-07 00:00:00,2023,1,2,February,6,7
2023-02-08 00:00:00,2023,1,2,February,6,8
2023-02-09 00:00:00,2023,1,2,February,6,9
2023-02-10 00:00:00,2023,1,2,February,6,10
2023-02-11 00:00:00,2023,1,2,February,6,11
2023-02-12 00:00:00,2023,1,2,February,7,12
2023-02-13 00:00:00,2023,1,2,February,7,13
2023-02-14 00:00:00,2023,1,2,February,7,14
2023-02-15 00:00:00,2023,1,2,February,7,15
2023-02-16 00:00:00,2023,1,2,February,7,16
2023-02-17 00:00:00,2023,1,2,February,7,17
2023-02-18 00:00:00,2023,1,2,February,7,18
2023-02-19 00:00:00,2023,1,2,February,8,19
2023-02-20 00:00:00,2023,1,2,February,8,20
2023-02-21 00:00:00,2023,1,2,February,8,21
2023-02-22 00:00:00,2023,1,2,February,8,22
2023-02-23 00:00:00,2023,1,2,February,8,23
2023-02-24 00:00:00,2023,1,2,February,8,24
2023-02-25 00:00:00,2023,1,2,February,8,25
2023-02-26 00:00:00,2023,1,2,February,9,26
2023-02-27 00:00:00,2023,1,2,February,9,27
2023-02-28 00:00:00,2023,1,2,February,9,28
2023-03-01 00:00:00,2023,1,3,March,9,1
2023-03-02 00:00:00,2023,1,3,March,9,2
2023-03-03 00:00:00,2023,1,3,March,9,3
2023-03-04 00:00:00,2023,1,3,March,9,4
2023-03-05 00:00:00,2023,1,3,March,10,5
2023-03-06 00:00:00,2023,1,3,March,10,6
2023-03-07 00:00:00,2023,1,3,March,10,7
2023-03-08 00:00:00,2023,1,3,March,10,8
2023-03-09 00:00:00,2023,1,3,March,10,9
2023-03-10 00:00:00,2023,1,3,March,10,10
2023-03-11 00:00:00,2023,1,3,March,10,11
2023-03-12 00:00:00,2023,1,3,March,11,12
2023-03-13 00:00:00,2023,1,3,March,11,13
2023-03-14 00:00:00,2023,1,3,March,11,14
2023-03-15 00:00:00,2023,1,3,March,11,15
2023-03-16 00:00:00,2023,1,3,March,11,16
2023-03-17 00:00:00,2023,1,3,March,11,17
2023-03-18 00:00:00,2023,1,3,March,11,18
2023-03-19 00:00:00,2023,1,3,March,12,19
2023-03-20 00:00:00,2023,1,3,March,12,20
2023-03-21 00:00:00,2023,1,3,March,12,21
2023-03-22 00:00:00,2023,1,3,March,12,22
2023-03-23 00:00:00,2023,1,3,March,12,23
2023-03-24 00:00:00,2023,1,3,March,12,24
2023-03-25 00:00:00,2023,1,3,March,12,25
2023-03-26 00:00:00,2023,1,3,March,13,26
2023-03-27 00:00:00,2023,1,3,March,13,27
2023-03-28 00:00:00,2023,1,3,March,13,28
2023-03-29 00:00:00,2023,1,3,March,13,29
2023-03-30 00:00:00,2023,1,3,March,13,30
2023-03-31 00:00:00,2023,1,3,March,13,31
2023-04-01 00:00:00,2023,2,4,April,13,1
2023-04-02 00:00:00,2023,2,4,April,14,2
2023-04-03 00:00:00,2023,2,4,April,14,3
2023-04-04 00:00:00,2023,2,4,April,14,4
2023-04-05 00:00:00,2023,2,4,April,14,5
2023-04-06 00:00:00,2023,2,4,April,14,6
2023-04-07 00:00:00,2023,2,4,April,14,7
2023-04-08 00:00:00,2023,2,4,April,14,8
2023-04-09 00:00:00,2023,2,4,April,15,9
2023-04-10 00:00:00,2023,2,4,April,15,10
2023-04-11 00:00:00,2023,2,4,April,15,11
2023-04-12 00:00:00,2023,2,4,April,15,12
2023-04-13 00:00:00,2023,2,4,April,15,13
2023-04-14 00:00:00,2023,2,4,April,15,14
2023-04-15 00:00:00,2023,2,4,April,15,15
2023-04-16 00:00:00,2023,2,4,April,16,16
2023-04-17 00:00:00,2023,2,4,April,16,17
